# OLD VERSION<tab>OLD RETURN<tab>OLD NAME<tab>OLD ARGS<tab>NEW VERSION<tab>NEW RETURN<tab>NEW NAME<tab>NEW ARGS<tab>NOTES
# OLD VERSION<tab>type<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
# OLD VERSION<tab>enum<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
#
# Functions
#
0.9.21	-	-	-	0.9.22	void	rasqal_world_set_log_handler	(rasqal_world* world, void *user_data, raptor_log_handler handler)	-
0.9.21	int	rasqal_world_set_generate_bnodeid_handler	(rasqal_world* world, void *user_data, rasqal_generate_bnodeid_handler2 handler)	0.9.22	int	rasqal_world_set_generate_bnodeid_handler	(rasqal_world* world, void *user_data, rasqal_generate_bnodeid_handler handler)	-
0.9.21	int	rasqal_query_results_formats_enumerate	(rasqal_world* world, unsigned int counter, const char **name, const char **label, const unsigned char **uri_string, const char **mime_type, int* flags)	0.9.22	const raptor_syntax_description*	rasqal_world_get_query_results_format_description	(rasqal_world* world, unsigned int counter)	-
0.9.21	-	-	-	0.9.22	const char*	rasqal_world_guess_query_results_format_name	(rasqal_world* world, raptor_uri *uri, const char *mime_type, const unsigned char *buffer, size_t len, const unsigned char *identifier)	-
0.9.21	void	rasqal_query_set_fatal_error_handler	(rasqal_query* query, void *user_data, raptor_message_handler handler)	0.9.22	-	-	-	Replaced by rasqal_world_set_log_handler()
0.9.21	void	rasqal_query_set_error_handler	(rasqal_query* query, void *user_data, raptor_message_handler handler)	0.9.22	-	-	-	Replaced by rasqal_world_set_log_handler()
0.9.21	void	rasqal_query_set_warning_handler	(rasqal_query* query, void *user_data, raptor_message_handler handler)	0.9.22	-	-	-	Replaced by rasqal_world_set_log_handler()
0.9.21	void	rasqal_query_set_default_generate_bnodeid_parameters	(rasqal_query* rdf_query, char *prefix, int base)	0.9.22	int	rasqal_world_set_default_generate_bnodeid_parameters	(rasqal_world* world, char *prefix, int base)	-
0.9.21	void	rasqal_query_set_generate_bnodeid_handler	(rasqal_query* query, void *user_data, rasqal_generate_bnodeid_handler handler)	0.9.22	int	rasqal_world_set_generate_bnodeid_handler	(rasqal_world* world, void *user_data, rasqal_generate_bnodeid_handler handler)	-
0.9.21	int	rasqal_query_add_data_graph	(rasqal_query* query, raptor_uri* uri, raptor_uri* name_uri, int flags)	0.9.22	int	rasqal_query_add_data_graph	(rasqal_query* query, rasqal_data_graph* data_graph)	-
0.9.21	int	rasqal_query_add_data_graph2	(rasqal_query* query, rasqal_data_graph* data_graph)	0.9.22	int	rasqal_query_add_data_graph	(rasqal_query* query, rasqal_data_graph* data_graph)	-
0.9.21	-	-	-	0.9.22	int	rasqal_query_set_store_results	(rasqal_query* query, int store_results)	-
0.9.21	-	-	-	0.9.22	rasqal_query_results_type	rasqal_query_get_result_type	(rasqal_query* query)	-
0.9.21	-	-	-	0.9.22	rasqal_query_results_type	rasqal_query_results_get_type	(rasqal_query_results* query_results)	-
0.9.21	-	-	-	0.9.22	rasqal_row*	rasqal_query_results_get_row_by_offset	(rasqal_query_results* query_results, int result_offset)	-
0.9.21	int	rasqal_query_results_write	(raptor_iostream *iostr, rasqal_query_results *results, raptor_uri *format_uri, raptor_uri *base_uri)	0.9.22	int	rasqal_query_results_write	(raptor_iostream *iostr, rasqal_query_results *results, const char* name, const char* mime_type, raptor_uri *format_uri, raptor_uri *base_uri)	-
0.9.21	int	rasqal_query_results_write2	(raptor_iostream *iostr, rasqal_query_results *results, const char* name, const char* mime_type, raptor_uri *format_uri, raptor_uri *base_uri)	0.9.22	int	rasqal_query_results_write	(raptor_iostream *iostr, rasqal_query_results *results, const char* name, const char* mime_type, raptor_uri *format_uri, raptor_uri *base_uri)	-
0.9.21	int	rasqal_query_results_read	(raptor_iostream *iostr, rasqal_query_results *results, raptor_uri *format_uri, raptor_uri *base_uri)	0.9.22	int	rasqal_query_results_read	(raptor_iostream *iostr, rasqal_query_results *results, const char* name, const char* mime_type, raptor_uri *format_uri, raptor_uri *base_uri)	-
0.9.21	int	rasqal_query_results_read2	(raptor_iostream *iostr, rasqal_query_results *results, const char* name, const char* mime_type, raptor_uri *format_uri, raptor_uri *base_uri)	0.9.22	int	rasqal_query_results_read	(raptor_iostream *iostr, rasqal_query_results *results, const char* name, const char* mime_type, raptor_uri *format_uri, raptor_uri *base_uri)	-
0.9.21	-	-	-	0.9.22	int	rasqal_query_results_rewind	(rasqal_query_results* query_results)	-
0.9.21	int	rasqal_query_results_formats_check	(rasqal_world* world, const char *name, raptor_uri* uri, const char *mime_type, int flags)	0.9.22	int	rasqal_query_results_formats_check	(rasqal_world* world, const char *name, raptor_uri* uri, const char *mime_type)	-
0.9.21	int	rasqal_query_results_formats_check2	(rasqal_world* world, const char *name, raptor_uri* uri, const char *mime_type, int flags)	0.9.22	int	rasqal_query_results_formats_check	(rasqal_world* world, const char *name, raptor_uri* uri, const char *mime_type)	-
0.9.21	rasqal_query_results_formatter*	rasqal_new_query_results_formatter	(rasqal_world* world, const char *name, const char *mime_type, raptor_uri* format_uri)	0.9.22	rasqal_query_results_formatter*	rasqal_new_query_results_formatter	(rasqal_world* world, const char *name, raptor_uri* format_uri)	-
0.9.21	rasqal_query_results_formatter*	rasqal_new_query_results_formatter2	(rasqal_world* world, const char *name, const char *mime_type, raptor_uri* format_uri)	0.9.22	rasqal_query_results_formatter*	rasqal_new_query_results_formatter	(rasqal_world* world, const char *name, raptor_uri* format_uri)	-
0.9.21	rasqal_query_results_formatter*	rasqal_new_query_results_formatter_by_mime_type	(rasqal_world* world, const char *mime_type)	0.9.22	rasqal_query_results_formatter*	rasqal_new_query_results_formatter_for_content	(rasqal_world* world, raptor_uri *uri, const char *mime_type, const unsigned char *buffer, size_t len, const unsigned char *identifier)	-
0.9.21	const char*	rasqal_query_results_formatter_get_mime_type	(rasqal_query_results_formatter *formatter)	0.9.22	-	-	-	Use rasqal_world_get_query_results_format_description() to get list of mime types.
0.9.21	rasqal_data_graph*	rasqal_new_data_graph	(rasqal_world* world, raptor_uri* uri, raptor_uri* name_uri, int flags)	0.9.22	rasqal_data_graph*	rasqal_new_data_graph_from_uri	(rasqal_world* world, raptor_uri* uri, raptor_uri* name_uri, int flags, const char* format_type, const char* format_name, raptor_uri* format_uri)	-
0.9.21	rasqal_expression*	rasqal_new_function_expression2	(rasqal_world* world, raptor_uri* name, raptor_sequence* args, raptor_sequence* params, unsigned int flags)	0.9.22	rasqal_expression*	rasqal_new_function_expression	(rasqal_world* world, raptor_uri* name, raptor_sequence* args, raptor_sequence* params, unsigned int flags)	-
0.9.21	rasqal_expression*	rasqal_new_function_expression	(rasqal_world* world, raptor_uri* name, raptor_sequence* args)	0.9.22	rasqal_expression*	rasqal_new_function_expression	(rasqal_world* world, raptor_uri* name, raptor_sequence* args, raptor_sequence* params, unsigned int flags)	-
0.9.21	rasqal_expression*	rasqal_new_coalesce_expression	(rasqal_world* world, raptor_sequence* args)	0.9.22	rasqal_expression*	rasqal_new_expr_seq_expression	(rasqal_world* world, rasqal_op op, raptor_sequence* args)	Call it with op #RASQAL_EXPR_COALESCE
0.9.21	-	-	-	0.9.22	rasqal_literal*	rasqal_new_datetime_literal_from_datetime	(rasqal_world* world, rasqal_xsd_datetime* dt)	-
0.9.21	-	-	-	0.9.22	const unsigned char*	rasqal_literal_as_counted_string	(rasqal_literal* l, size_t *len_p, int flags, int *error)	-
0.9.21	rasqal_variable*	rasqal_new_variable_typed	(rasqal_query* rq, rasqal_variable_type type, unsigned char *name, rasqal_literal *value)	0.9.22	-	-	-	Replaced by rasqal_variables_table_add2()
0.9.21	rasqal_variable*	rasqal_new_variable	(rasqal_query* rq, unsigned char *name, rasqal_literal *value)	0.9.22	-	-	-	Replaced by rasqal_variables_table_add2()
0.9.21	-	-	-	0.9.22	rasqal_xsd_datetime*	rasqal_new_xsd_datetime	(rasqal_world* world, const char *datetime_string)	-
0.9.21	-	-	-	0.9.22	rasqal_xsd_datetime*	rasqal_new_xsd_datetime_from_unixtime	(rasqal_world* world, time_t secs)	-
0.9.21	-	-	-	0.9.22	rasqal_xsd_datetime*	rasqal_new_xsd_datetime_from_timeval	(rasqal_world* world, struct timeval *tv)	-
0.9.21	-	-	-	0.9.22	void	rasqal_free_xsd_datetime	(rasqal_xsd_datetime* dt)	-
0.9.21	-	-	-	0.9.22	char*	rasqal_xsd_datetime_to_counted_string	(const rasqal_xsd_datetime *dt, size_t *len_p)	-
0.9.21	-	-	-	0.9.22	char*	rasqal_xsd_datetime_to_string	(const rasqal_xsd_datetime *dt)	-
0.9.21	-	-	-	0.9.22	int	rasqal_xsd_datetime_equals	(const rasqal_xsd_datetime *dt1, const rasqal_xsd_datetime *dt2)	-
0.9.21	-	-	-	0.9.22	int	rasqal_xsd_datetime_compare	(const rasqal_xsd_datetime *dt1, const rasqal_xsd_datetime *dt2)	-
0.9.21	-	-	-	0.9.22	rasqal_xsd_decimal*	rasqal_xsd_datetime_get_seconds_as_decimal	(rasqal_world* world, rasqal_xsd_datetime* dt)	-
0.9.21	-	-	-	0.9.22	int	rasqal_xsd_datetime_set_from_timeval	(rasqal_xsd_datetime *dt, struct timeval *tv)	-
0.9.21	-	-	-	0.9.22	int	rasqal_xsd_datetime_set_from_unixtime	(rasqal_xsd_datetime* dt, time_t clock)	-
0.9.21	-	-	-	0.9.22	time_t	rasqal_xsd_datetime_get_as_unixtime	(rasqal_xsd_datetime* dt)	-
0.9.21	-	-	-	0.9.22	struct timeval*	rasqal_xsd_datetime_get_as_timeval	(rasqal_xsd_datetime *dt)	-
0.9.21	-	-	-	0.9.22	char*	rasqal_xsd_datetime_get_timezone_as_counted_string	(rasqal_xsd_datetime *dt, size_t *len_p)	-
0.9.22	-	-	-	0.9.23	raptor_sequence*	rasqal_graph_pattern_get_flattened_triples	(rasqal_query* query, rasqal_graph_pattern* graph_pattern)	-
0.9.23	-	-	-	0.9.24	raptor_sequence*	rasqal_graph_pattern_get_flattened_triples	(rasqal_query* query, rasqal_graph_pattern* graph_pattern)	-
